Instance,Capacity,Beta,Stochastic
Kelly01,550,0.5,7584.114071879866
Kelly02,700,0.5,12348.200278925073
Kelly03,900,0.5,16526.5803217636
Kelly04,1000,0.5,23250.354049702997
Kelly05,900,0.5,11786.135175354188
Kelly06,900,0.5,14250.170741672931
Kelly07,900,0.5,16435.52916039433
Kelly08,900,0.5,17366.715752060212
Kelly09,1000,0.5,738.5608274701166
Kelly10,1000,0.5,986.0372166924582
Kelly11,1000,0.5,1122.593629021851
Kelly12,1000,0.5,1376.022781024801
Kelly13,1000,0.5,938.3045934991025
Kelly14,1000,0.5,1252.8930964466904
Kelly15,1000,0.5,1429.6341321146967
Kelly16,1000,0.5,1772.102837467913
Kelly17,200,0.5,710.1905431848284
Kelly18,200,0.5,1062.2583442738467
Kelly19,200,0.5,1396.6149305859024
Kelly20,200,0.5,1685.2725898093904
