Instance,Capacity,Beta,Stochastic
Kelly01,550,0.5,7788.485955503518
Kelly02,700,0.5,12018.094826430877
Kelly03,900,0.5,16657.34864738335
Kelly04,1000,0.5,23388.884051479
Kelly05,900,0.5,12017.518818419629
Kelly06,900,0.5,14565.059328449563
Kelly07,900,0.5,16778.966300101205
Kelly08,900,0.5,17428.923084952054
Kelly09,1000,0.5,732.8725653837232
Kelly10,1000,0.5,976.8292312439511
Kelly11,1000,0.5,1234.0537921068778
Kelly12,1000,0.5,1397.214357192361
Kelly13,1000,0.5,938.3260121937412
Kelly14,1000,0.5,1125.361188834774
Kelly15,1000,0.5,1477.5881802825688
Kelly16,1000,0.5,1726.7533146226408
Kelly17,200,0.5,756.0011071462378
Kelly18,200,0.5,1002.5669066525517
Kelly19,200,0.5,1400.3922759436994
Kelly20,200,0.5,1755.7811764441465
