Instance,Capacity,Beta,Stochastic
Kelly01,550,0.5,7490.087458194875
Kelly02,700,0.5,11717.898836622831
Kelly03,900,0.5,16928.87036360604
Kelly04,1000,0.5,22852.52539826688
Kelly05,900,0.5,11508.917041543973
Kelly06,900,0.5,14070.627915317138
Kelly07,900,0.5,15898.464329740558
Kelly08,900,0.5,17422.822784326934
Kelly09,1000,0.5,750.0649243760906
Kelly10,1000,0.5,912.3379111420966
Kelly11,1000,0.5,1124.472331730947
Kelly12,1000,0.5,1382.2157985886038
Kelly13,1000,0.5,942.9481419436183
Kelly14,1000,0.5,1179.3433780646747
Kelly15,1000,0.5,1523.482027592043
Kelly16,1000,0.5,1804.9525545262165
Kelly17,200,0.5,773.6945367609143
Kelly18,200,0.5,1063.8773563990105
Kelly19,200,0.5,1394.48196069476
Kelly20,200,0.5,1794.920587913857
