Instance,Capacity,Beta,Stochastic
Kelly01,550,0.5,8075.975420923861
Kelly02,700,0.5,11905.398268470155
Kelly03,900,0.5,17369.223460167774
Kelly04,1000,0.5,23065.67936057969
Kelly05,900,0.5,12002.226581174657
Kelly06,900,0.5,14271.6602342343
Kelly07,900,0.5,16427.46374947313
Kelly08,900,0.5,18303.918332988414
Kelly09,1000,0.5,780.3744595356253
Kelly10,1000,0.5,959.1202804086726
Kelly11,1000,0.5,1150.3918380650657
Kelly12,1000,0.5,1321.1070978233213
Kelly13,1000,0.5,960.515861376265
Kelly14,1000,0.5,1210.2738565757486
Kelly15,1000,0.5,1435.0325686194792
Kelly16,1000,0.5,1806.6911582054686
Kelly17,200,0.5,785.5965404379032
Kelly18,200,0.5,1062.5265976021817
Kelly19,200,0.5,1386.3455498558665
Kelly20,200,0.5,1752.888396215781
