Instance,Capacity,Beta,Stochastic
Kelly01,550,0.5,7475.391735346663
Kelly02,700,0.5,11815.398933546288
Kelly03,900,0.5,16583.115790581192
Kelly04,1000,0.5,23443.516102443155
Kelly05,900,0.5,11570.849406349786
Kelly06,900,0.5,14468.278405523348
Kelly07,900,0.5,15986.647869646657
Kelly08,900,0.5,18203.132582444236
Kelly09,1000,0.5,799.2606876332239
Kelly10,1000,0.5,921.2355970927714
Kelly11,1000,0.5,1158.1539867445533
Kelly12,1000,0.5,1439.7512116064752
Kelly13,1000,0.5,947.9668008156357
Kelly14,1000,0.5,1217.4438938397495
Kelly15,1000,0.5,1507.223382776477
Kelly16,1000,0.5,1749.0886522474177
Kelly17,200,0.5,752.0304751415581
Kelly18,200,0.5,1024.2158104355296
Kelly19,200,0.5,1397.3040553409273
Kelly20,200,0.5,1842.5907193665212
