Instance,Capacity,Beta,Stochastic
Kelly01,550,0.5,7466.388526270911
Kelly02,700,0.5,12121.6326352719
Kelly03,900,0.5,17484.543758371736
Kelly04,1000,0.5,22812.889144263972
Kelly05,900,0.5,11735.229255389715
Kelly06,900,0.5,14319.525958653443
Kelly07,900,0.5,15792.964844345113
Kelly08,900,0.5,17722.800596810917
Kelly09,1000,0.5,750.1659503932694
Kelly10,1000,0.5,946.7450360883706
Kelly11,1000,0.5,1135.968592939921
Kelly12,1000,0.5,1376.1465856929372
Kelly13,1000,0.5,894.3677202584634
Kelly14,1000,0.5,1117.8307007437181
Kelly15,1000,0.5,1444.975078943051
Kelly16,1000,0.5,1835.4640777807997
Kelly17,200,0.5,802.1309744202603
Kelly18,200,0.5,1049.8799124473119
Kelly19,200,0.5,1294.518745774579
Kelly20,200,0.5,1877.9036107769275
