Instance,Capacity,Beta,Stochastic
Kelly01,550,0.5,7873.323229779777
Kelly02,700,0.5,11769.506106334351
Kelly03,900,0.5,16827.31178288603
Kelly04,1000,0.5,23513.025039896966
Kelly05,900,0.5,11796.828690064756
Kelly06,900,0.5,13972.924872831998
Kelly07,900,0.5,16770.049332199633
Kelly08,900,0.5,16845.9290372839
Kelly09,1000,0.5,755.840022484785
Kelly10,1000,0.5,965.0700402350913
Kelly11,1000,0.5,1086.9380029872
Kelly12,1000,0.5,1366.8057027924558
Kelly13,1000,0.5,890.2325126680728
Kelly14,1000,0.5,1221.8449316585852
Kelly15,1000,0.5,1459.0058652334171
Kelly16,1000,0.5,1762.6995070974826
Kelly17,200,0.5,761.3439824903459
Kelly18,200,0.5,1067.26438948038
Kelly19,200,0.5,1358.6891869195695
Kelly20,200,0.5,1812.932764078456
