Instance,Capacity,Beta,Stochastic
Kelly01,550,0.5,7215.296589197249
Kelly02,700,0.5,11799.736366274032
Kelly03,900,0.5,16629.10494692434
Kelly04,1000,0.5,23028.953193274097
Kelly05,900,0.5,11762.609498694468
Kelly06,900,0.5,13592.859222918423
Kelly07,900,0.5,15980.063752234128
Kelly08,900,0.5,17699.020624209552
Kelly09,1000,0.5,749.3436290632617
Kelly10,1000,0.5,976.6589112486004
Kelly11,1000,0.5,1176.5172142164965
Kelly12,1000,0.5,1358.757597632325
Kelly13,1000,0.5,890.28371435557
Kelly14,1000,0.5,1166.5098292625182
Kelly15,1000,0.5,1467.9244910835366
Kelly16,1000,0.5,1743.3273936849232
Kelly17,200,0.5,768.384752093233
Kelly18,200,0.5,1024.9556126884718
Kelly19,200,0.5,1389.2574776508345
Kelly20,200,0.5,1780.3179347813025
